"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-05"",5.47,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-06"",5.48,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-07"",5.46,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-08"",5.58,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-09"",5.46,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-10"",5.48,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-11"",5.24,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-12"",5.07,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-01"",5.02,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-02"",4.98,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-03"",4.95,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-04"",5.27,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-05"",5.37,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-06"",5.3,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-07"",5.07,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-08"",4.95,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-09"",4.95,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-10"",4.53,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-11"",4.73,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-12"",5.11,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-01"",5.21,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-02"",5.22,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-03"",5.47,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-04"",5.37,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-05"",5.38,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-06"",5.16,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-07"",5.01,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-08"",4.82,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-09"",4.54,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-10"",4.74,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-11"",4.63,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-12"",4.3,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-01"",4.16,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-02"",3.99,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-03"",4.1,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-04"",4.15,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-05"",3.8,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-06"",3.84,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-07"",4.19,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-08"",4.21,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-09"",3.99,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-10"",4.32,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-11"",4.44,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-12"",4.31,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-01"",4.27,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-02"",4.1,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-03"",3.98,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-04"",4.23,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-05"",4.3,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-06"",4.35,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-07"",4.22,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-08"",4.02,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-09"",3.98,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-10"",3.87,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-11"",3.75,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-12"",3.67,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-01"",3.48,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-02"",3.65,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-03"",3.6,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-04"",3.38,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-05"",3.23,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-06"",3.13,"
